Q145,SOC_00084,プライマリ・ケア認定医,認定医,共通,総合診療,5,総合的な診療能力を証明する学会独自の認定資格
Q146,SOC_00084,家庭医療専門医,専門医,共通,総合診療,5,機構認定の総合診療専門医と連携するより高度な専門資格
Q147,SOC_00083,緩和医療専門医,専門医,新専門医制度,内科,5,がん治療などに不可欠な緩和ケアの専門家・サブスペシャルティ
Q148,SOC_00083,緩和医療認定医,認定医,共通,内科,5,緩和医療の基本的な知識と実践能力を認定
Q149,SOC_00098,高血圧専門医,専門医,共通,内科,5,高血圧診療のスペシャリスト・認定内科医などが取得条件
Q150,SOC_00075,超音波専門医,専門医,共通,横断的,5,診療科を問わず超音波検査・診断の高度な技能を証明
Q151,SOC_00075,超音波指導医,指導医,共通,横断的,5,超音波専門医を育成する上位資格
Q152,SOC_00127,産業衛生専門医,専門医,共通,社会医学系,5,産業医の中でも特に高度な専門性を持つ・社会医学系専門医の一つ
Q153,SOC_00127,産業衛生指導医,指導医,共通,社会医学系,5,産業衛生専門医を育成する上位資格
Q154,SOC_00049,口腔外科認定医,認定医,共通,歯科,5,口腔外科専門医の中間目標として設定された資格
Q155,SOC_00049,口腔外科専門医,専門医,共通,歯科,5,口腔外科領域の高度な専門知識と技能を証明
Q156,SOC_00047,心血管カテーテル治療認定医,認定医,共通,内科,5,心血管インターベンション治療の基本的な技量を認定
Q157,SOC_00047,心血管カテーテル治療専門医,専門医,共通,内科,5,認定医の上位資格・循環器専門医であることが条件
Q158,SOC_00077,動脈硬化専門医,専門医,共通,内科,5,動脈硬化性疾患の管理に関する専門家
Q159,SOC_00136,レーザー専門医,専門医,共通,横断的,5,レーザー医療に関する専門知識と技術を認定・基本領域専門医が前提
Q160,SOC_00114,小児血液・がん専門医,専門医,新専門医制度,小児科,5,小児科専門医などを基本資格とするサブスペシャルティ
Q161,SOC_00090,抗菌化学療法認定医,認定医,共通,横断的,5,感染症治療における抗菌薬の適正使用に関する専門知識を認定
Q162,SOC_00085,漢方専門医,専門医,共通,内科,5,漢方医学・東洋医学に関する専門知識を証明
Q163,SOC_00108,大腸肛門病専門医,専門医,共通,外科/内科,5,大腸・肛門疾患を総合的に診療する専門家
Q164,SOC_00078,細胞診専門医,専門医,共通,病理,5,細胞診による診断の専門家・細胞検査士と連携
Q165,SOC_00074,リハビリテーション科認定臨床医,認定医,共通,リハビリテーション科,5,専門医より広い門戸を持つリハビリテーション医療の臨床医を認定
Q166,SOC_00105,脈管専門医,専門医,共通,内科/外科,5,血管（動脈・静脈・リンパ管）疾患の専門家
Q167,SOC_00115,肥満症専門医,専門医,共通,内科/外科,5,肥満症の診断と治療・合併症管理の専門家
Q168,SOC_00116,腹部救急認定医,認定医,共通,外科/救急科,5,腹部救急疾患の診療に関する専門知識と技術を認定
Q169,SOC_00116,腹部救急教育医,指導医,共通,外科/救急科,5,腹部救急認定医を指導・教育する上位資格
Q170,SOC_00106,麻酔科指導医,指導医,共通,麻酔科,5,専門医を育成する上位資格
Q171,SOC_00129,ペインクリニック専門医,専門医,共通,麻酔科,5,痛みの診断と治療・特に神経ブロックなどを専門とする
Q172,SOC_00122,熱傷専門医,専門医,共通,救急科/形成外科,5,重症熱傷の救命治療から再建までを担う専門家
Q173,SOC_00124,脳卒中専門医,専門医,共通,内科/脳神経外科,5,脳卒中の急性期治療から再発予防までを専門とする
Q174,SOC_00100,透析専門医,専門医,共通,内科/泌尿器科,5,腎不全と透析療法の専門家
Q175,SOC_00101,渡航医学認定医療職,認定医,共通,横断的,5,渡航者の健康問題を扱う専門職を認定（医師以外も含む）
